IN2064,Maschinelles Lernen ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"1200, Carl-von-Linde-Hörsaal (0502.01.200) ",24.02.2023,16:15  ,17:00
IN2064,Maschinelles Lernen ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,"1200, Carl-von-Linde-Hörsaal (0502.01.200) ",24.02.2023,17:00  ,19:00
IN2064,Maschinelles Lernen ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,"1200, Carl-von-Linde-Hörsaal (0502.01.200) ",24.02.2023,19:00  ,19:30
IN2064,Maschinelles Lernen ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"0980, Audimax (0509.EG.980) ",24.02.2023,16:15  ,17:00
IN2064,Maschinelles Lernen ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,"0980, Audimax (0509.EG.980) ",24.02.2023,17:00  ,19:00
IN2064,Maschinelles Lernen ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,"0980, Audimax (0509.EG.980) ",24.02.2023,19:00  ,19:30
IN2085,Software Engineering für betriebliche Anwendungen - Bachelorkurs ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,17.02.2023,16:15  ,17:00
IN2085,Software Engineering für betriebliche Anwendungen - Bachelorkurs ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,17.02.2023,17:00  ,19:00
IN2085,Software Engineering für betriebliche Anwendungen - Bachelorkurs ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,17.02.2023,19:00  ,19:30
IN8014,Eingebettete Vernetzte Systeme ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"MW 1801, Ernst-Schmidt-Hörsaal (5508.02.801) ",17.02.2023,13:30  ,14:15
IN8014,Eingebettete Vernetzte Systeme ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,"MW 1801, Ernst-Schmidt-Hörsaal (5508.02.801) ",17.02.2023,14:15  ,15:45
IN8014,Eingebettete Vernetzte Systeme ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,"MW 1801, Ernst-Schmidt-Hörsaal (5508.02.801) ",17.02.2023,15:45  ,16:15
IN2015,Bildsynthese ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"003, Hörsaal 2, ""Interims II"" (5416.01.003) ",01.03.2023,13:30  ,14:15
IN2015,Bildsynthese ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,"003, Hörsaal 2, ""Interims II"" (5416.01.003) ",01.03.2023,14:15  ,15:30
IN2015,Bildsynthese ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,"003, Hörsaal 2, ""Interims II"" (5416.01.003) ",01.03.2023,15:30  ,16:00
IN9046,"IT-Recht in der öffentlichen Verwaltung: E-Government-Gesetz, IT-Sicherheit und Auftragsvergabe ",Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"00.06.011, MI Hörsaal  3 (5606.EG.011) ",15.02.2023,10:45  ,11:30
IN9046,"IT-Recht in der öffentlichen Verwaltung: E-Government-Gesetz, IT-Sicherheit und Auftragsvergabe ",Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,"00.06.011, MI Hörsaal  3 (5606.EG.011) ",15.02.2023,11:30  ,12:30
IN9046,"IT-Recht in der öffentlichen Verwaltung: E-Government-Gesetz, IT-Sicherheit und Auftragsvergabe ",Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,"00.06.011, MI Hörsaal  3 (5606.EG.011) ",15.02.2023,12:30  ,13:00
s,Network Coding ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"MW 1050, Johann-Bauschinger-Zeichensaal (5510.01.050) ",23.02.2023,10:45  ,11:30
IN2315,Network Coding ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,"MW 1050, Johann-Bauschinger-Zeichensaal (5510.01.050) ",23.02.2023,11:30  ,13:00
IN2315,Network Coding ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,"MW 1050, Johann-Bauschinger-Zeichensaal (5510.01.050) ",23.02.2023,13:00  ,13:30
IN2354,3D Scanning & Motion Capture ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"102, Hörsaal 2, ""Interims I"" (5620.01.102) ",27.02.2023,10:45  ,11:30
IN2354,3D Scanning & Motion Capture ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,"102, Hörsaal 2, ""Interims I"" (5620.01.102) ",27.02.2023,11:30  ,13:00
IN2354,3D Scanning & Motion Capture ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,"102, Hörsaal 2, ""Interims I"" (5620.01.102) ",27.02.2023,13:00  ,13:30
IN2258,Middleware und verteilte Systeme ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,20.02.2023,13:30  ,14:15
IN2258,Middleware und verteilte Systeme ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,20.02.2023,14:15  ,15:30
IN2258,Middleware und verteilte Systeme ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,20.02.2023,15:30  ,16:00
IN0037,Physikalische Grundlagen für Computerspiele ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"2501, Rudolf-Mößbauer-Hörsaal (5101.EG.501) ",27.02.2023,13:30  ,14:15
IN0037,Physikalische Grundlagen für Computerspiele ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,"2501, Rudolf-Mößbauer-Hörsaal (5101.EG.501) ",27.02.2023,14:15  ,15:45
IN0037,Physikalische Grundlagen für Computerspiele ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,"2501, Rudolf-Mößbauer-Hörsaal (5101.EG.501) ",27.02.2023,15:45  ,16:15
IN0037,Physikalische Grundlagen für Computerspiele ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"004, Hörsaal 1 ""Interims II"" (5416.01.004) ",27.02.2023,13:30  ,14:15
IN0037,Physikalische Grundlagen für Computerspiele ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,"004, Hörsaal 1 ""Interims II"" (5416.01.004) ",27.02.2023,14:15  ,15:45
IN0037,Physikalische Grundlagen für Computerspiele ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,"004, Hörsaal 1 ""Interims II"" (5416.01.004) ",27.02.2023,15:45  ,16:15
IN8005,Einführung in die Informatik für andere Fachrichtungen ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,24.02.2023,10:45  ,11:30
IN8005,Einführung in die Informatik für andere Fachrichtungen ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,24.02.2023,11:30  ,13:00
IN8005,Einführung in die Informatik für andere Fachrichtungen ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,24.02.2023,13:00  ,13:30
IN8005,Einführung in die Informatik für andere Fachrichtungen ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"101, Hörsaal 1, ""Interims I"" (5620.01.101) ",24.02.2023,10:45  ,11:30
